PC1,PC2,PC3,PC4
-1.2757535924582315,-0.06751034400770022,0.04270496879457315,0.3459333593709958
-0.8634133755237949,-0.1753414480412009,-0.41779436559823924,0.11827557162352373
-1.3781699787791937,-0.09902287550009986,-0.14855464671657148,-0.373777477849332
-1.921812602291312,-0.015670932167668124,-0.024656125173488773,0.4119170957285471
-1.8167144758605978,0.16124078454352098,0.7869954629698765,0.5700752217609504
-1.1703140431303107,-0.17179509403041812,-0.33912003343076336,0.08756498672847805
-0.739810042913884,0.13381659413950786,0.46722786989766957,1.3622635425478309
-0.5099278940123355,18.016829929664258,-2.9958014390266956,-0.3513874074258405
-1.2349431773205015,-0.17926414701570603,-0.2085717714386482,-0.5703144007224422
-1.919910394762945,0.22529088301884015,0.9538358324287154,0.8890581456547222
-1.8544463683543015,-1.0094657508142921,0.7878119946241344,1.916059776309985
-1.349655697567034,-0.18867578392675635,-0.5911273065813559,0.38992150674146014
-1.6363236874142106,-0.00816688838490006,0.07879489812019869,0.15518518055976543
-0.8152932454686713,0.29746806838708395,1.2440139760043667,1.0604222225210265
-2.0369522888026768,-0.18624293431695868,-0.6317109624406476,0.3683142875179089
-0.8959443200195941,0.40714838891629146,1.9203958169625424,0.5683967082606143
-1.5957179368631855,-0.17599664940399937,-0.279445864472805,0.07892490707718164
-1.5443384373098847,-0.10194262918198123,-0.12383385010070748,0.34708425434713763
-1.6959288753808284,-0.033016602419370475,-0.12022389896462918,0.804580956070615
-1.054916155241421,-0.11768651852887846,-0.2769493151457912,0.5164014949895642
-0.8865392781653196,-0.22940555389259512,-0.5680481058139726,0.15474134162147254
-1.6828921593144177,-0.08111993875662732,-0.30153269396369065,0.812056695109358
-1.2559070980226474,-0.058682222977703986,0.152078211804053,-0.012126504686682013
-1.3732888419260976,-0.1388719322289573,-0.16269610785819255,-0.4569964880873867
-1.8647483747288633,-0.1651638712857132,-0.17064974617224984,-0.11171168944491337
-1.017360004520706,-0.0167119662780349,0.29263790302656617,0.4280371304641441
-1.1340607541341128,-0.31010555305102666,-0.7279080047174974,-0.5216647411387783
-1.2008607139052263,-0.1622291692682834,-0.38604246573371065,0.5723668706919681
-1.371189942488282,-0.1554389980819299,-0.30497700624211116,-0.280002254043727
-1.0157996073984212,0.0014606701592867952,0.3295652933645144,0.339640665316266
-1.471954700093116,-0.2600935364471827,-0.9628108265104197,-0.08763523005531643
-1.5467025648236645,0.2632509856402602,1.0059416725375834,1.1378340843047863
-1.4730558996986458,0.10836375876082315,0.5231337743627336,0.7948839189475019
-1.0634021793713304,-0.05512301226878965,0.29300081487695506,-0.19133848160593442
-1.9506967009307528,-0.05477354275043844,0.07272454104066818,0.1827908627870551
-0.5716658402813272,0.048880991168885106,0.34661253506017325,1.1910601988237228
-1.858339011240845,-0.21264150933597953,-0.5669977673155738,-0.07982689040683931
-0.8985904651041273,-0.011490993139204484,0.11525208685280126,0.25757541193809863
-2.077643255977014,-0.15645270843526954,-0.43564367345483757,0.012489117795600092
-0.47590719464428166,0.20875037046380057,1.025659576387147,0.6255907570795669
-1.6490319536676548,-0.3171453539228997,-0.9534450480397585,-0.4690909730905384
-0.5567070215780451,0.033769319876159505,0.19892498445078402,1.1091916343980308
-1.406669467128369,-0.020138706932430868,0.353404764183771,-0.10821696408098308
-1.6406364951518315,-0.18374526868643407,-0.6433299028284354,0.23267020568850488
-1.2480750027765788,0.3037865069900929,1.3923659890277023,0.8430489937465547
-1.1729243449161888,-0.16002067879116935,-0.31473562463806276,-0.1197820607510993
-0.7738669793951788,0.02710162213742785,0.270297901041229,0.7952727808278514
-1.7452866848811026,-0.19943309619136307,-0.7541245044595991,0.33392398103118487
-0.9292687891083852,0.14932021542051405,0.6834378984534107,0.4728123999061286
-2.2958300744466227,-0.22967395260255746,-0.774312805846281,-0.09532290598004198
-1.0494793823580317,-0.007729334243763856,0.24635451431115069,0.04581614848881075
-1.1443812860288984,-0.1873659358093971,-0.4547848192468547,-0.047916309068003524
-1.102367701256981,0.013827048086746067,0.2418911067608959,0.2560731132099378
-1.747695224237638,-0.37985399132884606,-1.1342742230002842,-0.612108042510534
-1.5328969110114228,-0.0011720749174032603,0.02108156800859687,0.5664008082897326
-1.6630930474636791,-0.32877496016372937,-1.0852251170615501,-0.19661971506230524
-1.1237206713507968,0.30709828210810547,1.2598583942812969,1.1601736991355462
-1.1236411226424046,-0.2622473375140651,-0.7991282656680094,0.05143897714323155
-0.6948107460284134,-0.029988430514684458,0.08556625190574539,0.33291787793869865
-1.8845684351767362,-0.3181732934061075,-0.9536914476337733,-0.5131094681717776
